Wall time,Step,Value
1682966421.40445,379,137.0
1682966424.7531304,380,201.0
1682966448.8225589,381,136.0
1682966452.1374848,382,196.0
1682966454.5693817,383,143.0
1682966456.901594,384,138.0
1682966459.1832495,385,136.0
1682966462.2150557,386,180.0
1682966466.4295876,387,250.0
1682966469.0943804,388,159.0
1682966471.2432344,389,129.0
1682966473.7083304,390,148.0
1682966476.040684,391,139.0
1682966478.6062162,392,154.0
1682966480.8381903,393,133.0
1682966482.870537,394,122.0
1682966485.4857123,395,157.0
1682966487.7506464,396,134.0
1682966489.816473,397,122.0
1682966492.43126,398,157.0
1682966494.8968587,399,147.0
1682966497.495222,400,155.0
1682966512.037208,401,157.0
1682966514.66926,402,158.0
1682966517.084511,403,144.0
1682966519.54986,404,148.0
1682966521.998605,405,145.0
1682966524.7964804,406,166.0
1682966530.3935924,407,335.0
1682966532.958934,408,154.0
1682966535.4238453,409,147.0
1682966539.172156,410,225.0
1682966541.7707644,411,156.0
1682966546.118201,412,259.0
1682966548.6336923,413,150.0
1682966550.9482825,414,137.0
1682966553.4312513,415,149.0
1682966556.1644776,416,163.0
1682966558.8622043,417,157.0
1682966562.3425822,418,204.0
1682966565.473837,419,187.0
1682966567.872761,420,143.0
1682966581.2320216,421,154.0
1682966585.7628126,422,271.0
1682966589.1775668,423,205.0
1682966593.2585592,424,245.0
1682966596.0070207,425,165.0
1682966599.071577,426,184.0
1682966601.787119,427,162.0
1682966603.969219,428,131.0
1682966606.5013585,429,152.0
1682966612.747712,430,375.0
1682966615.029702,431,137.0
1682966617.31158,432,137.0
1682966619.6773372,433,142.0
1682966622.4089715,434,164.0
1682966625.0407624,435,158.0
1682966632.83636,436,468.0
1682966635.3350687,437,149.0
1682966638.6998613,438,202.0
1682966641.7814646,439,185.0
1682966644.5960555,440,169.0
1682966657.3893943,441,142.0
1682966662.0368018,442,279.0
1682966664.9184425,443,173.0
1682966668.982836,444,244.0
1682966672.0979135,445,187.0
1682966674.4132018,446,138.0
1682966677.3283875,447,175.0
1682966682.5419815,448,310.0
1682966689.0382538,449,390.0
