Training Episode,Accelerate (3),Straight (0),Brake (4),Left (1),Right (2)
285,0.519230783,0.07692308,0.211538464,0.192307696,0
286,0.403846145,0.15384616,0.25,0.192307696,0
287,0.403846145,0.365384609,0.115384616,0.07692308,0.03846154
288,0.384615391,0.15384616,0.057692308,0.346153855,0.057692308
289,0.442307681,0.25,0.173076928,0.134615391,0
290,0.461538464,0.15384616,0.01923077,0.307692319,0.057692308
291,0.423076928,0.211538464,0,0.15384616,0.211538464
292,0.480769217,0.134615391,0.115384616,0.192307696,0.07692308
293,0.480769217,0.057692308,0.192307696,0.230769232,0.03846154
294,0.576923072,0.07692308,0.03846154,0.288461536,0.01923077
295,0.096153848,0.884615362,0,0,0.01923077
296,0.01923077,0.961538434,0,0.01923077,0
297,0.25,0.365384609,0.03846154,0.288461536,0.057692308
298,0.346153855,0.288461536,0.01923077,0.346153855,0
299,0.307692319,0.634615362,0,0.057692308,0
300,0.326923072,0.538461566,0.01923077,0.096153848,0.01923077
301,0.467532456,0.246753246,0.025974026,0.259740263,0
302,0.454545468,0.298701286,0.051948052,0.16883117,0.025974026
303,0.506493509,0.038961038,0.077922076,0.376623362,0
304,0.448717952,0.012820513,0,0.538461566,0
305,0.800000012,0,0.13333334,0.06666667,0
306,0.307692319,0.269230783,0.051282052,0.333333343,0.03846154
307,0.512820542,0.21794872,0,0.256410271,0.012820513
308,0.405063301,0.291139245,0,0.291139245,0.012658228
309,0.506329119,0.227848098,0,0.25316456,0.012658228
310,0.291139245,0.291139245,0,0.392405063,0.025316456
311,0.430379748,0.303797454,0,0.265822798,0
312,0.362500012,0.0625,0,0.5625,0.0125
313,0.237499997,0.487500012,0,0.275000006,0
314,0.3125,0.375,0.0125,0.300000012,0
315,0.262499988,0.375,0,0.349999994,0.0125
316,0.209876537,0.530864179,0,0.148148149,0.111111112
317,0.395061731,0.395061731,0.012345679,0.185185179,0.012345679
318,0.30864197,0.246913582,0.012345679,0.407407403,0.024691358
319,0.222222224,0.395061731,0,0.358024687,0.024691358
320,0.134146348,0.621951222,0.012195121,0.23170732,0
321,0.219512194,0.439024389,0.012195121,0.317073166,0.012195121
322,0.23170732,0.524390221,0,0.243902445,0
323,0.646341443,0.073170729,0.036585364,0.243902445,0
324,0.30120483,0.180722892,0.156626508,0.30120483,0.060240965
325,0.3253012,0.313253015,0.036144577,0.30120483,0.024096385
326,0.67469877,0.156626508,0.024096385,0.120481931,0.024096385
327,0.662650585,0.168674693,0.084337346,0.072289154,0.012048192
328,0.833333313,0.05952381,0.047619049,0.047619049,0.011904762
329,0.678571403,0.05952381,0,0.25,0.011904762
330,0.965517223,0.034482758,0,0,0
331,0.606060624,0.106060609,0,0.25757575,0.030303031
332,0.808219194,0.05479452,0,0.12328767,0.01369863
333,0.447058827,0.023529412,0.035294119,0.294117659,0.200000003
334,0.235294119,0.047058824,0,0.458823532,0.258823544
335,0.294117659,0.176470593,0.082352944,0.435294122,0.011764706
336,0.290697664,0.290697664,0.151162788,0.244186044,0.023255814
337,0.430232555,0.127906978,0.023255814,0.395348847,0.023255814
338,0.441860467,0.232558146,0.011627907,0.290697664,0.023255814
339,0.360465109,0.08139535,0.069767445,0.418604642,0.069767445
340,0.563218415,0.034482758,0.057471264,0.206896558,0.137931034
341,0.459770113,0.034482758,0.011494253,0.402298838,0.091954023
342,0.471264362,0.080459774,0.022988506,0.402298838,0.022988506
343,0.494252861,0.172413796,0.011494253,0.25287357,0.068965517
344,0.693181813,0.03409091,0.011363637,0.147727266,0.113636367
345,0.935483873,0,0.032258064,0,0.032258064
346,0.659090936,0.06818182,0,0.181818187,0.090909094
347,0.75,0.056818184,0.06818182,0.113636367,0.011363637
348,0.731343269,0.089552239,0.044776119,0.134328365,0
349,0.640449464,0.146067411,0.033707865,0.16853933,0.011235955
350,0.505617976,0.044943821,0.146067411,0.258426964,0.044943821
351,0.337078661,0.42696628,0.044943821,0.16853933,0.02247191
352,0.644444466,0.077777781,0.088888891,0.166666672,0.022222223
353,0.555555582,0.044444446,0.055555556,0.333333343,0.011111111
354,0.622222245,0.022222223,0.06666667,0.266666681,0.022222223
355,0.277777791,0.400000006,0.044444446,0.266666681,0.011111111
356,0.07692308,0.131868139,0.472527474,0.15384616,0.16483517
357,0.0989011,0.043956045,0.208791211,0.637362659,0.010989011
358,0.584415555,0.038961038,0.181818187,0.19480519,0
359,0.637362659,0.0989011,0,0.263736278,0
360,0.326086968,0.380434781,0,0.282608688,0.010869565
361,0.534090936,0.340909094,0.022727273,0.102272727,0
362,0.467391312,0.217391297,0,0.282608688,0.032608695
363,0.054347824,0.619565189,0.271739125,0.032608695,0.021739131
364,0.096774191,0.612903237,0.15053764,0.118279569,0.021505376
365,0.215053767,0.258064508,0.021505376,0.505376339,0
366,0.54838711,0.021505376,0.118279569,0.30107528,0.010752688
367,0.107526883,0.129032254,0.54838711,0.204301074,0.010752688
368,0.510638297,0.010638298,0,0.457446814,0.021276595
369,0.839506149,0.024691358,0,0.123456791,0.012345679
370,0.763636351,0.018181818,0,0.181818187,0.036363635
371,0.625,0.100000001,0,0.075000003,0.200000003
372,0.755102038,0.06122449,0.020408163,0.122448981,0.040816326
373,0.824561417,0.070175439,0,0.087719299,0.01754386
374,0.557894766,0.042105265,0.042105265,0.32631579,0.031578947
375,0.526315808,0.042105265,0.126315787,0.294736832,0.010526316
376,0.614583313,0.020833334,0.114583336,0.25,0
377,0.34375,0.208333328,0.010416667,0.416666657,0.020833334
378,0.09375,0.489583343,0.3125,0.104166664,0
379,0.177083328,0.270833343,0.03125,0.520833313,0
380,0.525773168,0.113402061,0.030927835,0.268041223,0.06185567
381,0.371134013,0.041237112,0.113402061,0.463917524,0.010309278
382,0.494845361,0.041237112,0,0.443298966,0.020618556
383,0.144329891,0.041237112,0.742268026,0.051546391,0.020618556
384,0.387755096,0.265306115,0.071428575,0.244897962,0.030612245
385,0.540816307,0.071428575,0,0.346938789,0.040816326
386,0.663265288,0.05102041,0.030612245,0.224489793,0.030612245
387,0.459183663,0.040816326,0.040816326,0.448979586,0.010204081
388,0.262626261,0.424242437,0,0.282828271,0.030303031
389,0.324675322,0.363636374,0.012987013,0.285714298,0.012987013
390,0.282828271,0.474747479,0.02020202,0.212121218,0.01010101
391,0.393939406,0.080808081,0.02020202,0.484848499,0.02020202
392,0.200000003,0.529999971,0,0.209999993,0.059999999
393,0.340000004,0.150000006,0.039999999,0.319999993,0.150000006
394,0.5,0.059999999,0.039999999,0.360000014,0.039999999
395,0.209999993,0.129999995,0.079999998,0.430000007,0.150000006
396,0.20792079,0.00990099,0.534653485,0.059405942,0.188118815
397,0.178217828,0.445544541,0.188118815,0.138613865,0.049504951
398,0.267326742,0.465346545,0.00990099,0.227722779,0.029702971
399,0.415841579,0.168316826,0.128712878,0.198019803,0.089108914
400,0.323529422,0.372549027,0.039215688,0.24509804,0.019607844
401,0.382352948,0.127450988,0.156862751,0.264705896,0.068627454
402,0.078431375,0.79411763,0,0.107843138,0.019607844
403,0.372549027,0.186274514,0.009803922,0.294117659,0.137254909
404,0.601941764,0.019417476,0.009708738,0.281553388,0.087378643
405,0.41747573,0.048543688,0.213592231,0.300970882,0.019417476
